,vertical_drop_coef,trams_coef,fastEight_coef,fastSixes_coef,fastQuads_coef,quad_coef,triple_coef,double_coef,surface_coef,total_chairs_coef,Runs_coef,TerrainParks_coef,LongestRun_mi_coef,SkiableTerrain_ac_coef,Snow Making_ac_coef,daysOpenLastYear_coef,yearsOpen_coef,averageSnowfall_coef,AdultWeekday_coef,projectedDaysOpen_coef,NightSkiing_ac_coef,clusters_coef,EVS,MAE,summit_elev_coef,state_Alaska_coef,state_Arizona_coef,state_California_coef,state_Colorado_coef,state_Connecticut_coef,state_Idaho_coef,state_Illinois_coef,state_Indiana_coef,state_Iowa_coef,state_Maine_coef,state_Maryland_coef,state_Massachusetts_coef,state_Michigan_coef,state_Minnesota_coef,state_Missouri_coef,state_Montana_coef,state_Nevada_coef,state_New Hampshire_coef,state_New Jersey_coef,state_New Mexico_coef,state_New York_coef,state_North Carolina_coef,state_Ohio_coef,state_Oregon_coef,state_Pennsylvania_coef,state_Rhode Island_coef,state_South Dakota_coef,state_Tennessee_coef,state_Utah_coef,state_Vermont_coef,state_Virginia_coef,state_Washington_coef,state_West Virginia_coef,state_Wisconsin_coef,state_Wyoming_coef
Model 3,2.4428697330760656,0.0,0.0,4.718447854656915e-16,0.1668333489405095,1.9550146430330118,1.0824372422305655,0.2434465752210565,1.2204770351940042,0.6738609644153691,1.309548057538934,0.23288462323897907,0.11187250460514706,2.8871660943915187,0.3961303492863609,1.5143942829570536,0.3295436013397296,0.20132234522016448,13.174590754040592,1.2139644249769042,0.3498415892637,1.980374782416985,0.6964701630020269,6.333027236718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 1,1.3873005285821443,5130946081093.686,6185673744730.468,8762081102956.565,1368790863830.945,1418498857521.9175,2003859325833.7876,2436670014118.4414,2175887251614.6821,4612489335518.697,0.7314453125,0.5634765625,0.05908203125,2.109375,0.65283203125,0.04766845703125,0.244384765625,0.59912109375,12.43115234375,0.06927490234375,0.615478515625,0.77685546875,-3.3312268851501085e+20,31019340171.160862,3.5419076535461094,179198360244.5099,126951230537.34152,493279365321.40234,394605067547.58057,281729123657.4038,375082847384.822,252466620378.2185,179198360244.44092,219057782645.67194,354316169425.36316,126951230538.86755,394605067551.7692,626590201908.5771,447285305812.781,179198360244.18878,413059316212.5095,219057782644.89014,447285305815.17456,56.33948928287491,332071642677.41016,616156865292.0442,281729123658.448,281729123657.291,354316169423.66907,507446850710.4559,126951230538.7232,179198360243.89893,126951230539.39124,354316169423.90027,375082847386.87695,219057782646.86426,354316169424.21484,252466620379.7202,478566171660.85596,332071642678.49756
Model 2,2.350427595636481,8.881784197001252e-16,4.440892098500626e-16,1.1102230246251565e-15,0.18303828235349928,1.9565364563580185,1.0582183313282105,0.24014235590489577,1.2146195059503826,0.6696338751566135,1.2913088094295773,0.24444195094290969,0.12975789017390355,2.8407975523434312,0.41271079465024924,1.5085131223900479,0.3402647253468506,0.16608215206137916,13.173676874657374,1.2043027999992282,0.3584755958833701,2.382784456239877,0.6959441471403798,6.348645827530874,0.49724685489654735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model 2,2.350427595636481,8.881784197001252e-16,4.440892098500626e-16,1.1102230246251565e-15,0.18303828235349928,1.9565364563580185,1.0582183313282105,0.24014235590489577,1.2146195059503826,0.6696338751566135,1.2913088094295773,0.24444195094290969,0.12975789017390355,2.8407975523434312,0.41271079465024924,1.5085131223900479,0.3402647253468506,0.16608215206137916,13.173676874657374,1.2043027999992282,0.3584755958833701,2.382784456239877,0.6959441471403798,6.348645827530874,0.49724685489654735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
